project,phase,k_smell_types,count,status
91_classviewer,after,2,17,ok
91_classviewer,after,3,6,ok
91_classviewer,after,4,4,ok
91_classviewer,after,5,1,ok
92_jcvi-javacommon,before,1,1323,ok
92_jcvi-javacommon,before,2,823,ok
92_jcvi-javacommon,before,3,246,ok
92_jcvi-javacommon,before,4,15,ok
92_jcvi-javacommon,after,1,1286,ok
92_jcvi-javacommon,after,2,711,ok
92_jcvi-javacommon,after,3,214,ok
92_jcvi-javacommon,after,4,9,ok
93_quickserver,before,1,290,ok
93_quickserver,before,2,573,ok
93_quickserver,before,3,168,ok
93_quickserver,before,4,32,ok
93_quickserver,before,5,5,ok
93_quickserver,after,1,312,ok
93_quickserver,after,2,383,ok
93_quickserver,after,3,167,ok
93_quickserver,after,4,30,ok
93_quickserver,after,5,7,ok
94_jclo,before,1,12,ok
94_jclo,before,2,2,ok
94_jclo,before,3,1,ok
94_jclo,after,1,4,ok
94_jclo,after,2,6,ok
94_jclo,after,3,1,ok
95_celwars2009,before,1,9,ok
95_celwars2009,before,2,24,ok
95_celwars2009,before,3,7,ok
95_celwars2009,after,1,10,ok
95_celwars2009,after,2,20,ok
95_celwars2009,after,3,7,ok
96_heal,before,1,367,ok
96_heal,before,2,722,ok
96_heal,before,3,220,ok
96_heal,before,4,37,ok
96_heal,before,5,23,ok
96_heal,after,1,525,ok
96_heal,after,2,377,ok
96_heal,after,3,257,ok
96_heal,after,4,39,ok
96_heal,after,5,3,ok
96_heal,after,6,1,ok
97_feudalismgame,before,1,40,ok
97_feudalismgame,before,2,80,ok
97_feudalismgame,before,3,39,ok
97_feudalismgame,before,4,6,ok
97_feudalismgame,after,1,35,ok
97_feudalismgame,after,2,76,ok
97_feudalismgame,after,3,31,ok
97_feudalismgame,after,4,5,ok
98_trans-locator,before,1,8,ok
98_trans-locator,before,2,5,ok
98_trans-locator,before,3,6,ok
98_trans-locator,after,1,5,ok
98_trans-locator,after,2,9,ok
98_trans-locator,after,3,2,ok
99_newzgrabber,before,1,66,ok
99_newzgrabber,before,2,68,ok
99_newzgrabber,before,3,32,ok
99_newzgrabber,before,4,9,ok
99_newzgrabber,before,5,1,ok
99_newzgrabber,after,1,46,ok
99_newzgrabber,after,2,58,ok
99_newzgrabber,after,3,35,ok
99_newzgrabber,after,4,3,ok
100_jgaap,before,1,35,ok
100_jgaap,before,2,12,ok
100_jgaap,before,3,5,ok
100_jgaap,before,4,2,ok
100_jgaap,before,5,3,ok
100_jgaap,after,1,14,ok
100_jgaap,after,2,10,ok
100_jgaap,after,3,5,ok
100_jgaap,after,4,1,ok
101_netweaver,before,1,715,ok
101_netweaver,before,2,651,ok
101_netweaver,before,3,563,ok
101_netweaver,before,4,69,ok
101_netweaver,before,5,2,ok
101_netweaver,after,1,669,ok
101_netweaver,after,2,643,ok
101_netweaver,after,3,443,ok
101_netweaver,after,4,12,ok
101_netweaver,after,5,1,ok
106_checkstyle,before,1,192,ok
106_checkstyle,before,2,208,ok
106_checkstyle,before,3,66,ok
106_checkstyle,before,4,10,ok
106_checkstyle,before,5,1,ok
106_checkstyle,after,1,198,ok
106_checkstyle,after,2,175,ok
106_checkstyle,after,3,54,ok
106_checkstyle,after,4,6,ok
