project,smell_type,count_before,count_after,delta,status
33_javaviewcontrol,Multiple calls to the same void method,17,11,-6,ok
33_javaviewcontrol,Not asserted return values,20,48,28,ok
33_javaviewcontrol,Not asserted side effects,21,15,-6,ok
33_javaviewcontrol,Not null assertion,3,10,7,ok
33_javaviewcontrol,Testing only field accesors,3,3,0,ok
33_javaviewcontrol,Testing the same exception scenario,17,2,-15,ok
34_sbmlreader2,Asserting object initialization multiple times,5,3,-2,ok
34_sbmlreader2,Duplicated Setup,4,0,-4,ok
34_sbmlreader2,Exceptions due to external dependencies,3,3,0,ok
34_sbmlreader2,Exceptions due to incomplete setup,1,1,0,ok
34_sbmlreader2,Not asserted return values,5,6,1,ok
34_sbmlreader2,Not null assertion,0,1,1,ok
35_corina,Asserting Constants,17,14,-3,ok
35_corina,Asserting object initialization multiple times,570,559,-11,ok
35_corina,Duplicated Setup,468,364,-104,ok
35_corina,Exceptions due to external dependencies,43,43,0,ok
35_corina,Exceptions due to incomplete setup,90,68,-22,ok
35_corina,Exceptions due to null arguments,132,101,-31,ok
35_corina,Multiple calls to the same void method,157,166,9,ok
35_corina,Not asserted return values,157,170,13,ok
35_corina,Not asserted side effects,227,236,9,ok
35_corina,Not null assertion,16,21,5,ok
35_corina,Testing only field accesors,102,103,1,ok
35_corina,Testing the same exception scenario,126,93,-33,ok
36_schemaspy,Asserting object initialization multiple times,184,178,-6,ok
36_schemaspy,Duplicated Setup,162,123,-39,ok
36_schemaspy,Exceptions due to external dependencies,8,2,-6,ok
36_schemaspy,Exceptions due to incomplete setup,11,5,-6,ok
36_schemaspy,Exceptions due to null arguments,56,9,-47,ok
36_schemaspy,Multiple calls to the same void method,25,37,12,ok
36_schemaspy,Not asserted return values,88,144,56,ok
36_schemaspy,Not asserted side effects,54,62,8,ok
36_schemaspy,Not null assertion,7,14,7,ok
36_schemaspy,Testing only field accesors,39,41,2,ok
36_schemaspy,Testing the same exception scenario,68,39,-29,ok
37_petsoar,Asserting Constants,0,6,6,ok
37_petsoar,Asserting object initialization multiple times,103,86,-17,ok
37_petsoar,Duplicated Setup,34,18,-16,ok
37_petsoar,Exceptions due to incomplete setup,36,24,-12,ok
37_petsoar,Exceptions due to null arguments,1,1,0,ok
37_petsoar,Multiple calls to the same void method,9,24,15,ok
37_petsoar,Not asserted return values,22,23,1,ok
37_petsoar,Not asserted side effects,99,99,0,ok
37_petsoar,Not null assertion,0,4,4,ok
37_petsoar,Testing only field accesors,136,118,-18,ok
37_petsoar,Testing the same exception scenario,22,12,-10,ok
38_javabullboard,Asserting Constants,2,3,1,ok
38_javabullboard,Asserting object initialization multiple times,90,90,0,ok
38_javabullboard,Duplicated Setup,36,20,-16,ok
38_javabullboard,Exceptions due to external dependencies,1,1,0,ok
38_javabullboard,Exceptions due to incomplete setup,11,11,0,ok
38_javabullboard,Exceptions due to null arguments,26,10,-16,ok
38_javabullboard,Multiple calls to the same void method,9,25,16,ok
38_javabullboard,Not asserted return values,16,68,52,ok
38_javabullboard,Not asserted side effects,31,45,14,ok
38_javabullboard,Not null assertion,9,6,-3,ok
38_javabullboard,Testing only field accesors,33,27,-6,ok
38_javabullboard,Testing the same exception scenario,99,32,-67,ok
39_diffi,Asserting object initialization multiple times,32,31,-1,ok
39_diffi,Duplicated Setup,10,8,-2,ok
39_diffi,Multiple calls to the same void method,4,5,1,ok
39_diffi,Not asserted return values,7,8,1,ok
39_diffi,Not asserted side effects,6,7,1,ok
39_diffi,Not null assertion,0,3,3,ok
39_diffi,Testing only field accesors,11,12,1,ok
39_diffi,Testing the same exception scenario,2,0,-2,ok
40_glengineer,Asserting object initialization multiple times,179,145,-34,ok
40_glengineer,Duplicated Setup,141,134,-7,ok
40_glengineer,Exceptions due to incomplete setup,5,1,-4,ok
40_glengineer,Exceptions due to null arguments,7,1,-6,ok
40_glengineer,Multiple calls to the same void method,2,4,2,ok
40_glengineer,Not asserted return values,13,32,19,ok
40_glengineer,Not asserted side effects,4,5,1,ok
40_glengineer,Not null assertion,8,23,15,ok
40_glengineer,Testing only field accesors,4,1,-3,ok
40_glengineer,Testing the same exception scenario,29,3,-26,ok
41_follow,Asserting Constants,0,20,20,ok
41_follow,Asserting object initialization multiple times,95,69,-26,ok
41_follow,Duplicated Setup,65,57,-8,ok
41_follow,Exceptions due to incomplete setup,19,7,-12,ok
41_follow,Exceptions due to null arguments,21,8,-13,ok
41_follow,Multiple calls to the same void method,19,19,0,ok
41_follow,Not asserted return values,22,15,-7,ok
41_follow,Not asserted side effects,27,27,0,ok
41_follow,Not null assertion,2,13,11,ok
41_follow,Testing only field accesors,25,20,-5,ok
41_follow,Testing the same exception scenario,14,6,-8,ok
42_asphodel,Asserting Constants,0,1,1,ok
42_asphodel,Asserting object initialization multiple times,30,36,6,ok
42_asphodel,Duplicated Setup,10,4,-6,ok
42_asphodel,Exceptions due to incomplete setup,1,0,-1,ok
42_asphodel,Exceptions due to null arguments,3,2,-1,ok
42_asphodel,Multiple calls to the same void method,1,3,2,ok
42_asphodel,Not asserted return values,7,8,1,ok
42_asphodel,Not asserted side effects,14,12,-2,ok
42_asphodel,Not null assertion,0,2,2,ok
42_asphodel,Testing only field accesors,26,25,-1,ok
42_asphodel,Testing the same exception scenario,6,0,-6,ok
45_lotus,Asserting Constants,1,2,1,ok
45_lotus,Asserting object initialization multiple times,27,24,-3,ok
45_lotus,Duplicated Setup,8,0,-8,ok
45_lotus,Exceptions due to incomplete setup,6,2,-4,ok
45_lotus,Exceptions due to null arguments,7,1,-6,ok
45_lotus,Multiple calls to the same void method,4,4,0,ok
45_lotus,Not asserted return values,9,5,-4,ok
45_lotus,Not asserted side effects,9,9,0,ok
45_lotus,Not null assertion,0,8,8,ok
46_nutzenportfolio,Asserting object initialization multiple times,172,179,7,ok
46_nutzenportfolio,Duplicated Setup,234,186,-48,ok
46_nutzenportfolio,Exceptions due to incomplete setup,15,19,4,ok
46_nutzenportfolio,Exceptions due to null arguments,72,62,-10,ok
46_nutzenportfolio,Multiple calls to the same void method,0,10,10,ok
46_nutzenportfolio,Not asserted return values,38,61,23,ok
46_nutzenportfolio,Not asserted side effects,163,166,3,ok
46_nutzenportfolio,Not null assertion,0,1,1,ok
46_nutzenportfolio,Testing only field accesors,294,280,-14,ok
46_nutzenportfolio,Testing the same exception scenario,173,118,-55,ok
47_dvd-homevideo,Asserting object initialization multiple times,12,3,-9,ok
47_dvd-homevideo,Exceptions due to incomplete setup,3,0,-3,ok
47_dvd-homevideo,Exceptions due to null arguments,2,0,-2,ok
47_dvd-homevideo,Multiple calls to the same void method,2,2,0,ok
47_dvd-homevideo,Not asserted return values,0,1,1,ok
47_dvd-homevideo,Not asserted side effects,2,2,0,ok
47_dvd-homevideo,Not null assertion,0,2,2,ok
47_dvd-homevideo,Testing only field accesors,1,0,-1,ok
47_dvd-homevideo,Testing the same exception scenario,2,0,-2,ok
48_resources4j,Asserting object initialization multiple times,13,13,0,ok
48_resources4j,Duplicated Setup,6,2,-4,ok
48_resources4j,Exceptions due to incomplete setup,2,0,-2,ok
48_resources4j,Not asserted return values,5,4,-1,ok
48_resources4j,Not asserted side effects,4,3,-1,ok
48_resources4j,Not null assertion,0,1,1,ok
48_resources4j,Testing only field accesors,10,7,-3,ok
49_diebierse,Asserting Constants,1,0,-1,ok
49_diebierse,Asserting object initialization multiple times,70,55,-15,ok
49_diebierse,Duplicated Setup,62,56,-6,ok
49_diebierse,Exceptions due to incomplete setup,2,0,-2,ok
49_diebierse,Exceptions due to null arguments,7,2,-5,ok
49_diebierse,Multiple calls to the same void method,3,9,6,ok
49_diebierse,Not asserted return values,9,4,-5,ok
49_diebierse,Not asserted side effects,40,38,-2,ok
49_diebierse,Not null assertion,0,3,3,ok
49_diebierse,Testing only field accesors,54,46,-8,ok
49_diebierse,Testing the same exception scenario,4,0,-4,ok
50_biff,Asserting object initialization multiple times,9,16,7,ok
50_biff,Duplicated Setup,2,0,-2,ok
50_biff,Exceptions due to external dependencies,1,0,-1,ok
50_biff,Not asserted return values,23,11,-12,ok
51_jiprof,Asserting Constants,143,14,-129,ok
51_jiprof,Asserting object initialization multiple times,422,334,-88,ok
51_jiprof,Duplicated Setup,422,360,-62,ok
51_jiprof,Exceptions due to incomplete setup,42,18,-24,ok
51_jiprof,Exceptions due to null arguments,67,14,-53,ok
51_jiprof,Multiple calls to the same void method,229,225,-4,ok
51_jiprof,Not asserted return values,50,63,13,ok
51_jiprof,Not asserted side effects,248,240,-8,ok
51_jiprof,Not null assertion,4,40,36,ok
51_jiprof,Testing only field accesors,41,37,-4,ok
51_jiprof,Testing the same exception scenario,71,24,-47,ok
52_lagoon,Asserting Constants,34,12,-22,ok
52_lagoon,Asserting object initialization multiple times,146,134,-12,ok
52_lagoon,Duplicated Setup,166,137,-29,ok
