project,smell_type,count_before,count_after,delta,test_methods,loc_tests,density_before_tests,density_after_tests,delta_density_tests,density_before_loc,density_after_loc,delta_density_loc,status
12_dsachat,Asserting object initialization multiple times,95,97,2,174,2129,0.54597701,0.55747126,0.01149425,0.04462189,0.04556130,0.00093941,ok
12_dsachat,Duplicated Setup,46,40,-6,174,2129,0.26436782,0.22988506,-0.03448276,0.02160639,0.01878816,-0.00281822,ok
12_dsachat,Exceptions due to external dependencies,1,0,-1,174,2129,0.00574713,0.00000000,-0.00574713,0.00046970,0.00000000,-0.00046970,ok
12_dsachat,Exceptions due to incomplete setup,6,1,-5,174,2129,0.03448276,0.00574713,-0.02873563,0.00281822,0.00046970,-0.00234852,ok
12_dsachat,Exceptions due to null arguments,1,0,-1,174,2129,0.00574713,0.00000000,-0.00574713,0.00046970,0.00000000,-0.00046970,ok
12_dsachat,Multiple calls to the same void method,8,6,-2,174,2129,0.04597701,0.03448276,-0.01149425,0.00375763,0.00281822,-0.00093941,ok
12_dsachat,Not asserted return values,23,9,-14,174,2129,0.13218391,0.05172414,-0.08045977,0.01080319,0.00422734,-0.00657586,ok
12_dsachat,Not asserted side effects,13,10,-3,174,2129,0.07471264,0.05747126,-0.01724138,0.00610615,0.00469704,-0.00140911,ok
12_dsachat,Not null assertion,0,14,14,174,2129,0.00000000,0.08045977,0.08045977,0.00000000,0.00657586,0.00657586,ok
12_dsachat,Testing only field accesors,26,22,-4,174,2129,0.14942529,0.12643678,-0.02298851,0.01221231,0.01033349,-0.00187882,ok
12_dsachat,Testing the same exception scenario,4,0,-4,174,2129,0.02298851,0.00000000,-0.02298851,0.00187882,0.00000000,-0.00187882,ok
13_jdbacl,Asserting Constants,16,12,-4,1152,12877,0.01388889,0.01041667,-0.00347222,0.00124253,0.00093189,-0.00031063,ok
13_jdbacl,Asserting object initialization multiple times,558,477,-81,1152,12877,0.48437500,0.41406250,-0.07031250,0.04333307,0.03704279,-0.00629029,ok
13_jdbacl,Duplicated Setup,267,224,-43,1152,12877,0.23177083,0.19444444,-0.03732639,0.02073464,0.01739536,-0.00333929,ok
